University,Programme,Tuition fee,Duration,Apply date,Start date,Campus location,Taught in,Overview,Programme structure,Tuition Fees,Living costs,TOEFL,IELTS,Category
City University of Hong Kong,Master of Business Administration,"13,500 HKD/credit
469,489 CNY / year",1 year,27-Feb,27-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Students who complete the Master of Business Administration programme at City University of Hong Kong will gain better ideas on their professional goals and how to achieve them through seminars, symposiums, networking events, and beyond. 

Key Features

Upon completing the program, students will:
?Learn the fundamentals of business and develop cutting-edge managerial abilities
?Incorporate multidisciplinary perspectives to cultivate proficient problem-solving skills
?Develop powerful leadership and communication abilities
?Integrate ethical, environmental, and social factors into corporate operations
    I want to find another Master Course","Programme Structure
 
Courses Include:
?Managerial Decision Making
?Business Analytics and Decision Modelling
?Financial Reporting Analysis for Business Decisions
?Management Information Systems
?Corporate Finance
?Organizational Behavior and Leadership",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6,Business
City University of Hong Kong,International Accounting,"11,100 HKD/credit
289,518 CNY / year",1 year,27-Feb,27-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Students will be provided with specialised knowledge in international and Hong Kong accounting as well as related fields of information management, international business and investment so that graduates can make a significant contribution to the functioning and development of their employing organizations &ndash; particularly organizations such as multinational enterprises, joint ventures, Hong Kong companies and government agencies engaged in foreign trade and investment, and Certified Public Accountant (CPA) or consulting firms with multinational corporate clients and networks.

Key Features

This International Accounting programme at City University of Hong Kong is accredited by professional bodies, including the Association of Chartered Certified Accountants (ACCA), and the Hong Kong Institute of Certified Public Accountants (HKICPA).  Accreditation is granted based on the successful completion of designated courses and is subject to periodic review by the respective institutions.  

To qualify for module exemptions, students must complete the accredited courses aligned with the relevant professional modules.  This is particularly important when these courses are not included among the core courses required for graduation and must be taken as electives. 

Students who have not completed the required accredited electives, for any reason, or who have not studied equivalent subject areas previously, may be required to undertake the relevant modules independently.  

Please note that all exemptions are subject to the specific criteria and approval processes established by the respective professional bodies.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Accounting Information Systems
?Advanced International Financial Accounting
?Advanced Taxation
?Corporate Governance
?Financial Management
?International Financial Management
?International Financial Statement Analysis
?Management Accounting Issues in Multinational Enterprises",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6,Business
City University of Hong Kong,Professional Accounting and Corporate Governance,"11,100 HKD/credit
289,518 CNY / year",1 year,27-Feb,27-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
The Professional Accounting and Corporate Governance programme is offered by the Department of Accountancy at City University of Hong Kong. 

Key Features

The programme has been selected by the University Grants Committee (UGC) for the scholarship award under the main priority area of &lsquo;Financial&rsquo;. 

Scholarships are available to local students admitted to the programme. Nominated students will be invited to submit applications for the scholarship.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Accounting Information Systems
?Advanced Taxation
?Corporate Governance
?Law Relating to Business and Companies
?Auditing
?Corporate Accounting
?Cost and Management Accounting
?Financial and Management Accounting
?Financial Management
?Financial Reporting",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6,Business
City University of Hong Kong,Finance,"11,700 HKD/credit
305,168 CNY / year",1 year,Unknown,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
The financial market is a rapidly changing world. The swift pace of financial innovations in the last decade and the recent financial turmoil have changed the landscape of the financial sector. 

These changes will call for novel ways of risk management and new financial regulations. Professionals in the financial sector need to continuously update their knowledge lest their expertise will become obsolete.

Key Features

The mission of the Finance programme at City University of Hong Kong is to put students on a competitive edge in their future professional pursuit in the financial industry.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Corporate Finance
?Derivatives and Risk Management
?Financial Econometrics
?Investments
?Professional Seminars in Finance
?Advanced Corporate Finance
?Fixed Income Securities
?International Financial Management",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6,Business
City University of Hong Kong,Applied Economics,"11,300 HKD/credit
294,735 CNY / year",1 year,27-Mar,27-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
The Applied Economics programme at City University of Hong Kong provides a rigorous training in economic analysis and empirical methods for those who plan to pursue a career as economic analysts, policy researchers and investment strategists in multinational corporations, investment or commercial banks, trade associations, government bodies and policy research institutes.

Key Features

The objectives of the programme are:
?to equip students with advanced knowledge in modern economics for understanding, analyzing, and solving real-world problems;
?to develop students&#039; conceptual and analytical capabilities in analyzing economic policies and making competent business decisions; and
?to impart in-depth knowledge and skills in theories and empirical methods that facilitate applied research in economics.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Advanced Econometrics
?Advanced Microeconomics
?Advanced Macroeconomics
?Professional Seminars in Applied Economics
?Quantitative Methods in Economics",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6,Business
City University of Hong Kong,Financial Engineering,"11,700 HKD/credit
305,168 CNY / year",1 year,27-Mar,27-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
The financial market is a rapidly changing world. The swift pace of financial innovations in the last decade and the recent financial turmoil have changed the landscape of the financial sector. 

These changes will call for novel ways of risk management and new financial regulations. Professionals in the financial sector need to continuously update their knowledge lest their expertise will become obsolete.

Key Features

The mission of the Financial Engineering programme at City University of Hong Kong is to put students on a competitive edge in their future professional pursuit in the financial industry.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Corporate Finance
?Derivatives and Risk Management
?Investments
?Stochastic Calculus for Finance
?Professional Seminars in Finance
?Financial Computing
?Fixed Income Securities
?Option Pricing",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6,Engineering&Technology
City University of Hong Kong,Business Information Systems (Management of Intelligent Systems Stream),"10,500 HKD/credit
29,572 GBP / year",1 year,26-May,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
The Business Information Systems (Management of Intelligent Systems Stream) degree at City University of Hong Kong aims to train students in the core domains of business and cutting-edge information systems that underpin the contemporary information society, so that graduates can excel in careers with professional positions that require both advanced business knowledge and IT-enabled problem solving skills.

Key Features

With the growing trend towards Artificial Intelligence, such information systems are increasingly imbued with greater intelligence.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Analytical Programming with Python
?Database Management Systems
?Information and Electronic Business Systems
?JAVA Programming for Business Applications
?Project Management and Quality Assurance
?System Analysis and Design",Tuition fees are shown in GBP and the most likely applicable fee is shown based on your nationality.,,79,6,Business
City University of Hong Kong,Business Information Systems (Financial and Intelligent Technology Stream),"10,500 HKD/credit
273,869 CNY / year",1 year,26-May,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Financial and intelligent technology hold the potential to revolutionize traditional business operations and lead to more innovative products, solutions, and processes, which creates value for business and society.

Key Features

The Business Information Systems (Financial and Intelligent Technology Stream) degree at City University of Hong Kong is offered to applicants with an intermediate IT/IS or Finance/Accounting knowledge (such as completion of fundamental related courses at the undergraduate level or with relevant working experience); and aims to complement each student&rsquo;s skills to a complete set to face challenges in financial and intelligent technology applications. 

The FIT Stream focuses on developing their capability to integrate intelligent technology with business domain knowledge. By doing so, graduates can excel in careers in managerial, technical, or innovative architect positions in their specialized business domains, such as in financial industry.
    I want to find another Master Course","Programme Structure
 
 Courses include:
?Business Data Analytics
?Corporate Finance
?Financial and Management Accounting
?Management Support and Business Intelligence Systems
?Project Management and Quality assurance
?Generative Artificial Intelligence for Business",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6,Business
City University of Hong Kong,Digital Transformation and Technological Innovation,"9,600 HKD/credit
250,394 CNY / year",1 year,26-May,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
The Digital Transformation and Technological Innovation programme at City University of Hong Kong does not assume that students have prior knowledge in these areas, but a background in information systems, business or organization studies will be an advantage.  

Key Features

The programme incorporates a special focus on, and the potential for, strategic advantage that digital transformation and technological innovation can bring.
    I want to find another Master Course","Programme Structure
 
 Courses include:
?Information and Electronic Business Systems
?Innovation and Technology Entrepreneurship
?Information Systems Consulting
?Information Systems Planning and Strategy
?Digital Transformation and Technological Innovation in the Organisation
?Research Methods for the IS Manager",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6.5,Engineering&Technology
City University of Hong Kong,Electronic Commerce,"8,100 HKD/credit
232,397 CNY / year",1 year,27-Mar,27-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Students in the Electronic Commerce programme at City University of Hong Kong will gain knowledge and skills in core business and technical related subjects, together with an in-depth understanding of the specific managerial, regulatory, and technical issues involved in the exploitation of eCommerce. Students will also acquire the necessary knowledge and skill to analyze, plan, design, develop, and maintain eCommerce systems.

Key Features

Upon completion of Electronic Commerce programme at City University of Hong Kong, graduates should have attained skills and competencies in the following areas:
?understanding of the technologies underpinning the implementation of e-Commerce systems;
?ability to help evaluate and develop electronic commerce opportunities for business;
?competence in evaluating and using software and security methodologies and tools in support of electronic commerce operations;
?knowledge and skills to construct a variety of electronic commerce systems in support of service and business goals;
?skills in the use of software technology to support accounting, marketing and analysis of electronic commerce operations; and
?understanding of the legal environment surrounding e-Commerce, as well as changes in traditional marketing brought about by e-Commerce.
    I want to find another Master Course","Programme Structure
 
Courses include:
?e-Commerce
?Internet Application Development
?Information Security for e-Commerce
?e-Business System Integration
?Analysis and Design of ecommerce Systems",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6.5,Business
